time,GRDC_1160815,US_09447000
2003-01-23,0.681,0.714
2003-01-24,0.537,0.725
2003-01-25,0.717,0.714
2003-01-26,0.514,0.699
2003-01-27,0.338,0.699
2003-01-28,0.216,0.705
2003-01-29,0.161,0.716
2003-01-30,0.117,0.702
2003-01-31,0.094,0.694
2003-02-01,0.057,0.702
2003-02-02,0.026,0.702
2003-02-03,0.027,0.688
2003-02-04,0.046,0.663
2003-02-05,0.020,0.668
2003-02-06,0.156,0.660
2003-02-07,0.113,0.651
2003-02-08,0.077,0.759
2003-02-09,0.077,0.818
2003-02-10,0.042,0.742
2003-02-11,0.021,0.702
2003-02-12,0.025,0.694
2003-02-13,0.056,0.875
2003-02-14,0.028,1.164
2003-02-15,0.074,1.481
2003-02-16,8.588,1.237
2003-02-17,3.286,1.116
2003-02-18,1.170,0.934
2003-02-19,0.680,0.770
2003-02-20,1.951,0.614
2003-02-21,3.938,0.547
2003-02-22,0.994,0.476
2003-02-23,0.569,0.453
2003-02-24,0.402,0.442
2003-02-25,1.087,0.439
2003-02-26,0.570,0.668
2003-02-27,0.339,1.260
2003-02-28,0.260,1.710
2003-03-01,0.177,2.175
2003-03-02,0.200,2.152
2003-03-03,0.206,2.192
2003-03-04,0.143,2.350
2003-03-05,0.116,4.106
2003-03-06,0.097,5.154
2003-03-07,0.131,4.757
2003-03-08,0.137,4.786
2003-03-09,0.109,4.870
2003-03-10,0.082,4.814
2003-03-11,0.058,4.729
2003-03-12,0.032,4.729
2003-03-13,0.008,4.417
2003-03-14,0.012,3.993
2003-03-15,0.008,3.653
2003-03-16,0.014,3.370
2003-03-17,0.012,6.994
2003-03-18,0.011,8.835
2003-03-19,0.011,6.428
2003-03-20,0.597,6.173
2003-03-21,1.100,5.069
2003-03-22,0.549,4.502
2003-03-23,0.300,4.276
2003-03-24,0.207,4.304
2003-03-25,0.124,4.049
2003-03-26,0.090,3.511
2003-03-27,0.069,3.058
2003-03-28,0.051,2.767
2003-03-29,0.031,2.554
2003-03-30,0.015,2.350
2003-03-31,0.010,2.192
2003-04-01,0.008,2.025
2003-04-02,0.008,1.880
2003-04-03,0.014,1.767
2003-04-04,0.015,1.685
2003-04-05,0.010,1.586
2003-04-06,0.008,1.461
2003-04-07,0.007,1.410
2003-04-08,0.006,1.280
2003-04-09,0.008,1.195
2003-04-10,0.007,1.178
2003-04-11,0.032,1.178
2003-04-12,0.136,1.175
2003-04-13,0.093,1.169
2003-04-14,0.054,1.167
2003-04-15,0.066,1.172
2003-04-16,0.029,1.172
2003-04-17,0.010,1.158
2003-04-18,0.016,1.147
2003-04-19,0.024,1.138
2003-04-20,0.019,1.130
2003-04-21,0.015,1.093
2003-04-22,0.012,1.068
2003-04-23,0.024,1.045
2003-04-24,0.044,1.031
2003-04-25,0.032,1.014
2003-04-26,0.015,0.988
2003-04-27,0.012,0.966
2003-04-28,0.009,0.940
2003-04-29,0.015,0.917
2003-04-30,0.026,0.923
2003-05-01,0.023,0.813
2003-05-02,0.025,0.830
2003-05-03,0.016,0.855
2003-05-04,0.030,0.864
2003-05-05,0.030,0.900
2003-05-06,0.014,0.892
2003-05-07,0.011,0.895
2003-05-08,0.010,0.909
2003-05-09,0.014,0.900
2003-05-10,0.016,0.889
2003-05-11,0.017,0.934
2003-05-12,0.188,0.889
2003-05-13,0.649,0.886
2003-05-14,0.266,0.866
2003-05-15,0.152,0.847
2003-05-16,0.082,0.841
2003-05-17,0.073,0.833
2003-05-18,0.061,0.838
2003-05-19,0.052,0.833
2003-05-20,0.058,0.838
2003-05-21,0.055,0.855
2003-05-22,0.053,0.864
2003-05-23,0.046,0.852
2003-05-24,0.038,0.810
2003-05-25,0.030,0.804
2003-05-26,0.026,0.796
2003-05-27,0.029,0.824
2003-05-28,0.022,0.864
2003-05-29,0.016,0.702
2003-05-30,0.013,0.606
2003-05-31,0.014,0.779
2003-06-01,0.021,0.736
2003-06-02,0.024,0.651
2003-06-03,0.021,0.595
2003-06-04,0.016,0.595
2003-06-05,0.025,0.566
2003-06-06,0.048,0.538
2003-06-07,0.064,0.589
2003-06-08,0.063,0.648
2003-06-09,0.060,0.654
2003-06-10,0.066,0.685
2003-06-11,0.063,0.646
2003-06-12,0.052,0.626
2003-06-13,0.052,0.629
2003-06-14,0.048,0.623
2003-06-15,0.048,0.617
2003-06-16,0.049,0.592
2003-06-17,0.050,0.651
2003-06-18,0.039,0.680
2003-06-19,0.032,0.674
2003-06-20,0.027,0.617
2003-06-21,0.022,0.595
2003-06-22,0.016,0.620
2003-06-23,0.014,0.620
2003-06-24,0.010,0.609
2003-06-25,0.008,0.612
2003-06-26,0.007,0.606
2003-06-27,0.008,0.651
2003-06-28,0.009,0.742
2003-06-29,0.016,0.671
2003-06-30,0.032,0.612
2003-07-01,0.037,0.589
2003-07-02,0.039,0.541
2003-07-03,0.046,0.496
2003-07-04,0.038,0.498
2003-07-05,0.027,0.530
2003-07-06,0.032,0.535
2003-07-07,0.030,0.513
2003-07-08,0.024,0.527
2003-07-09,0.029,0.552
2003-07-10,0.021,0.535
2003-07-11,0.016,0.541
2003-07-12,0.013,0.688
2003-07-13,0.011,0.830
2003-07-14,0.019,0.838
2003-07-15,0.020,0.685
